week,month_of_year,week_of_month,bed_bath_table_items,computers_accessories_items,furniture_decor_items,health_beauty_items,sports_leisure_items,bed_bath_table_price,computers_accessories_price,furniture_decor_price,health_beauty_price,sports_leisure_price,bed_bath_table_freight,computers_accessories_freight,furniture_decor_freight,health_beauty_freight,sports_leisure_freight,bed_bath_table_review,computers_accessories_review,furniture_decor_review,health_beauty_review,sports_leisure_review,bed_bath_table_shipping,computers_accessories_shipping,furniture_decor_shipping,health_beauty_shipping,sports_leisure_shipping
2018-02-19/2018-02-25,2,3,121,259,103,135,136,11201.390000000001,26285.64,10167.11,12088.19,12478.18,1973.56,4539.86,2010.45,1986.29,2261.09,3.272727272727273,3.2625482625482625,3.116504854368932,4.355555555555555,3.5661764705882355,14.243333046372818,14.480954883454883,11.616826793419634,13.274159293552811,13.122837775735293
2018-02-26/2018-03-04,2,4,142,233,119,162,161,12782.62,21984.31,9555.49,27544.1,17580.49,2697.8,3954.81,2160.88,2806.96,2908.21,3.387323943661972,3.017167381974249,3.6470588235294117,3.6419753086419755,3.68944099378882,12.366694786776213,12.393252016769988,11.894418378462495,12.472065972222223,12.14878357200368
2018-03-05/2018-03-11,3,1,133,142,121,148,140,11445.54,15452.47,9995.36,23058.2,18493.96,2422.71,2927.98,2588.78,3184.64,3209.72,3.4962406015037595,3.7183098591549295,2.87603305785124,3.72972972972973,3.6857142857142855,12.612205948900028,14.342618348982786,12.265158593510867,12.867024211711712,11.464863508597883
2018-03-12/2018-03-18,3,2,142,112,95,112,146,11384.24,14310.52,8559.8,16114.99,14419.78,2615.8,2424.03,2246.46,2419.01,2583.65,3.767605633802817,3.892857142857143,3.6526315789473682,3.517857142857143,3.8013698630136985,13.251921214788734,11.24604187334656,12.373425194931775,10.455100549768519,12.400573154490107
2018-03-19/2018-03-25,3,3,192,158,110,114,116,14871.44,18513.35,9439.27,9759.289999999999,12613.86,3322.58,2911.43,2580.5,1898.5,2300.65,3.9375,3.9367088607594938,3.672727272727273,4.2368421052631575,3.7758620689655173,11.344213927469136,12.96451044596812,12.259243686868686,13.454022802956466,12.07243125399106
2018-03-26/2018-04-01,3,4,137,131,106,105,117,11895.95,13844.98,8380.09,11368.44,12398.78,2542.67,2451.49,2364.71,2013.09,2105.69,3.489051094890511,4.221374045801527,3.641509433962264,3.895238095238095,3.9145299145299144,11.812849672208705,15.86765700098954,13.814351087526205,13.380596891534392,12.822680238999682
2018-04-02/2018-04-08,4,1,138,120,120,120,134,15073.65,13551.02,12029.75,17026.64,14475.05,2907.55,2314.92,2732.69,2438.44,2479.38,3.63768115942029,3.75,4.0,4.058333333333334,4.276119402985074,13.124029287439614,12.757397955246914,13.309301986882717,13.381445216049382,13.0002246579602
2018-04-09/2018-04-15,4,2,131,87,104,118,118,13338.1,8967.83,10659.45,14035.9,13863.960000000001,2567.83,1864.93,2266.7,2233.7400000000002,2337.89,4.0458015267175576,4.068965517241379,3.875,4.101694915254237,4.237288135593221,12.777766822165676,10.820760962111537,11.81317786235755,13.700417255178907,11.550732697740113
2018-04-16/2018-04-22,4,3,146,112,150,125,100,13286.1,11215.17,12464.6,17285.57,11463.85,2894.69,2090.2599999999998,2437.5,2488.93,1778.23,4.02054794520548,4.1875,3.8733333333333335,4.232,4.44,12.01787140093861,12.935272714120371,13.88463611111111,13.671488796296297,12.090838310185186
2018-04-23/2018-04-29,4,4,144,80,115,145,102,14514.61,7696.4400000000005,11291.6,16461.03,11742.22,2670.55,1366.53,2162.64,2675.94,1979.6200000000001,3.8819444444444446,4.125,4.3304347826086955,4.296551724137931,3.784313725490196,12.798878681198559,13.476413773148147,12.933632950885668,12.551415309706258,12.607951956245461
